;latitud;longitud;profundidad;magnitud;err_prof;err_h
462;-33.799;-71.412;45.8;3.1;1.4;0.85
463;-33.807;-71.412;47.2;2.9;0.9;0.95
464;-33.802;-71.412;45.5;0;2.2;1.55
465;-33.783;-71.412;42.3;3.6;1.5;0.6
466;-33.813;-71.4;45.7;2.9;1.7;1.2
467;-33.807;-71.407;45.5;2.9;1.1;0.75
468;-33.811;-71.412;46;2.8;1.6;1.15
469;-33.806;-71.402;46.8;3.1;1.4;1.05
470;-33.796;-71.4;46.8;3.6;1;1.05
471;-33.825;-71.406;47;3.1;0.6;0.65
472;-33.822;-71.414;45.1;2.9;0.7;0.45
473;-36.219;-74.686;20.5;0;3.4;1.85
474;-31.786;-71.583;36.1;0;0.7;0.9
475;-36.361;-72.082;69.3;3.2;2;1.1
476;-33.369;-72.787;32.5;3.8;1.7;1.45
477;-32.248;-71.549;5.3;3.6;13.6;5.5
478;-33.182;-70.226;100.9;0;1.8;1.15
479;-31.572;-71.431;29.8;4;2.1;2.85
480;-33.996;-70.307;105.5;2.5;1.8;1.1
481;-33.354;-71.68;25.7;3.4;2.2;0.7
482;-32.878;-70.326;99.7;2.3;1;0.65
483;-34.338;-70.616;104.3;0;1.1;0.55
484;-32.052;-71.017;78.3;3.3;2.7;1.25
485;-32.069;-70.759;107.1;3.3;2.3;1.75
486;-35.604;-70.504;193;3.5;3.7;2.95
487;-33.748;-70.397;105.7;3.3;1;0.6
488;-35.21;-71.569;54.5;4;0.9;0.8
489;-31.71;-69.713;161.4;3.7;9.9;6
490;-32.887;-70.259;109.7;2.5;0.8;0.55
491;-34.512;-70.714;100.4;0;0.9;0.8
492;-34.774;-71.628;35.9;0;2.2;1.45
493;-30.798;-71.619;46.6;4.2;12;6
494;-27.64;-70.789;58.8;4.7;28.8;15
495;-33.429;-70.477;93.2;2.6;0.9;0.45
496;-31.407;-71.98;47.1;4.2;6.1;2.75
497;-31.895;-70.285;125.9;3;3;2.15
498;-31.704;-69.938;135.8;3.2;3.2;1.75
